"ageCategory","ExtremeHC"
"20-24",0.128504778460276
"0-4",0.226954094746566
"50-54",0.128922608488464
"10-14",0.203128863804081
"5-9",0.22888890910706
"65-69",0.145034609190304
"45-49",0.122527658247124
"15-19",0.149171583829462
"60-64",0.153211890721035
"35-39",0.136602671211208
"70-74",0.152135396580333
"40-44",0.129683870177086
"75-79",0.137581568946538
"55-59",0.130364728441979
"25-29",0.133503614430122
"85-89",0.140344994843148
"80-84",0.155463173409677
"90-94",0.154645947543359
"95+",0.189506469610955
"30-34",0.137171166952816
"missing",0.222264470922911
